Filter_type,Biological_rep,qPCR_rep,Detection,Cq,Copies,Copies_plus,Log_copiesplus,Log_copiesplus_1,Ave_Cq,Ave_copies,Log_ave_copies,Det_rate,Turbidity,Prefilter,Filtr_vol,Tank_water,Type
PC5,B,2,1,35.06,87.47,87.57,1.94,2.94,35.76,54.48,1.74,1,5,No,1000,500,5 NTU
PC5,B,3,1,35.54,63.32,63.42,1.80,2.80,35.76,54.48,1.74,1,5,No,1000,500,5 NTU
PC5,B,4,1,37.12,21.87,21.97,1.34,2.34,35.76,54.48,1.74,1,5,No,1000,500,5 NTU
PC5,B,5,1,35.82,52.45,52.55,1.72,2.72,35.76,54.48,1.74,1,5,No,1000,500,5 NTU
PC5,B,6,1,35.69,57.24,57.34,1.76,2.76,35.76,54.48,1.74,1,5,No,1000,500,5 NTU
PC5,C,1,1,34.15,161.36,161.46,2.21,3.21,34.88,98.84,1.99,1,5,No,1000,500,5 NTU
PC5,C,2,1,34.24,151.88,151.98,2.18,3.18,34.88,98.84,1.99,1,5,No,1000,500,5 NTU
PC5,C,3,1,35.17,81.22,81.32,1.91,2.91,34.88,98.84,1.99,1,5,No,1000,500,5 NTU
PC5,C,4,1,36.21,40.34,40.44,1.61,2.61,34.88,98.84,1.99,1,5,No,1000,500,5 NTU
PC5,C,5,1,35.32,73.43,73.53,1.87,2.87,34.88,98.84,1.99,1,5,No,1000,500,5 NTU
PC5,C,6,1,34.18,158.14,158.24,2.20,3.20,34.88,98.84,1.99,1,5,No,1000,500,5 NTU
PC5,A,1,0,NA,0,0.10,-1.00,0.00,37.71,14.75,1.17,0.3333,50,No,200,500,50 NTU
PC5,A,2,0,NA,0,0.10,-1.00,0.00,37.71,14.75,1.17,0.3333,50,No,200,500,50 NTU
PC5,A,3,0,NA,0,0.10,-1.00,0.00,37.71,14.75,1.17,0.3333,50,No,200,500,50 NTU
PC5,A,4,1,37.49,17.05,17.15,1.23,2.23,37.71,14.75,1.17,0.3333,50,No,200,500,50 NTU
PC5,A,5,1,37.92,12.76,12.86,1.11,2.11,37.71,14.75,1.17,0.3333,50,No,200,500,50 NTU
PC5,A,6,0,NA,0,0.10,-1.00,0.00,37.71,14.75,1.17,0.3333,50,No,200,500,50 NTU
PC5,B,1,0,NA,0,0.10,-1.00,0.00,38.13,11.11,1.05,0.5,50,No,200,500,50 NTU
PC5,B,2,1,37.24,20.17,20.27,1.31,2.31,38.13,11.11,1.05,0.5,50,No,200,500,50 NTU
PC5,B,3,1,38.25,10.22,10.32,1.01,2.01,38.13,11.11,1.05,0.5,50,No,200,500,50 NTU
PC5,B,4,1,38.89,6.64,6.74,0.83,1.83,38.13,11.11,1.05,0.5,50,No,200,500,50 NTU
PC5,B,5,0,NA,0,0.10,-1.00,0.00,38.13,11.11,1.05,0.5,50,No,200,500,50 NTU
PC5,B,6,0,NA,0,0.10,-1.00,0.00,38.13,11.11,1.05,0.5,50,No,200,500,50 NTU
PC5,C,1,1,38.48,8.76,8.86,0.95,1.95,38.84,6.86,0.84,0.8333,50,No,200,500,50 NTU
PC5,C,2,1,39.48,4.47,4.57,0.66,1.66,38.84,6.86,0.84,0.8333,50,No,200,500,50 NTU
